ecoregion_name,ecoregion_description,ecoregion_id
NEW BRUNSWICK HIGHLANDS,"The New Brunswick Highlands ecoregion is located in north-central New Brunswick. The ecoregion is marked by warm, moist summers and cold, snowy winters. The mean annual temperature is approximately 3°C. The mean summer temperature is 14.5°C and the mean winter temperature is -8°C. The mean annual precipitation ranges 1200-1400 mm. This ecoregion is classified as having a moist, high cool temperate ecoclimate. The region is characterized by a predominantly coniferous forest of balsam fir, white and black spruce, white birch, and white pine. Black spruce and balsam fir are found predominantly on shallow soils on exposed uplands. Red spruce, red maple, and yellow birch occur locally, and sugar maple may be found in isolated pockets. White and jack pine with black spruce and white cedar are associated with scattered wetlands. The region includes the highest elevations within New Brunswick, ranging from 500 to over 800 m asl. Mount Carleton at 817 m asl has the highest elevation in New Brunswick. Surfaces of its concordant summits represent the southeast-sloping Appalachian peneplain. This rolling to mountainous, dissected plateau is composed of diverse Palaeozoic metamorphic and igneous strata that are mantled with hummocky, stony, and bouldery glacial till, colluvial and minor ice-contact deposits. Loamy Humo-Ferric and Ferro-Humic podzols are dominant in the region. The region provides habitat for moose, black bear, white-tailed deer, red fox, snowshoe hare, porcupine, fisher, coyote, beaver, ruffed grouse, bobcat, and marten. Forestry dominates the land use of the region. There are no major communities in this ecoregion.",119
SAINT JOHN RIVER VALLEY,"This ecoregion occupies the central portion of the Saint John River valley along the western border of New Brunswick. The ecoregion is marked by warm, moist summers and snowy, cold winters. The warmer climate is unique to western New Brunswick. The mean annual temperature is approximately 4.5°C. The mean summer temperature is 15°C and the mean winter temperature is -5°C. The mean annual precipitation ranges from 1000 mm to over 1200 mm. It is a sheltered enclave of temperate, deciduous forest made up of sugar maple, yellow birch, and beech and is associated with a sparse presence of white ash, butternut, ironwood, and basswood. Red spruce, red maple, balsam fir, and eastern hemlock are common softwoods. Poorly drained sites support white cedar, black ash, red maple, and white elm. Black spruce, balsam fir, and cedar can be found on scattered bogs. The ecoregion ranges in elevation 100-300 m asl and has developed on folded, calcareous, and argillaceous Palaeozoic strata. The uplands are remarkably uniform; concordant summits, whose regularity is broken only by a few hills and ridges, rise slightly above the general level. The Saint John River valley is deeply entrenched into them. The region is mantled with stony glacial till and small pockets of peatlands and fluvioglacial deposits. Loamy Humo-Ferric Podzols and Gray Luvisols are dominant soils. Gleysols are significant inclusions. Mesisols and some Humisols are found on swamps and fens. The region provides habitat for moose, black bear, white-tailed deer, red fox, snowshoe hare, porcupine, fisher, coyote, beaver, ruffed grouse, bobcat, raccoon, and muskrat. Hardwood lands have been extensively cleared for agriculture, including some orchards. Over a quarter of the ecoregion is in farmland. Forestry operations, including Christmas tree plantations, are also present. The major communities include Woodstock and Grand Falls. The population of the ecoregion is approximately 47 900.",120
SOUTHERN NEW BRUNSWICK UPLANDS,"This  ecoregion forms a 40-km-wide band that runs parallel to the Bay of Fundy and along the United States border to the Saint John River valley. The ecoregion is marked by warm, rainy summers and mild, snowy winters. The mean annual temperature is approximately 5°C. The mean summer temperature is 15°C and the mean winter temperature is -5°C. The mean annual precipitation ranges 1100-1400 mm. The mixedwood forest is predominantly composed of sugar and red maple, white and red spruce, and balsam fir. Warmer and moister sites are occupied by sugar maple and beech, whereas drier sites commonly support eastern white pine. The forest becomes conifer-dominated at lower elevations. Palaeozoic metamorphic, sedimentary, and volcanic rocks are the dominant strata. The region's surface represents the southeast-sloping Appalachian peneplain and can reach elevations above 350 m asl. The terrain decreases in elevation and levels out to the west, where rolling and hummocky stony till plains are predominant. Loamy Humo-Ferric Podzols are the dominant soils. In the western part of the region, significant soil inclusions are Gleysols on poorly drained sites, Fibrisols on flat bogs, and Mesisols on fens. The region provides habitat for moose, black bear, white-tailed deer, red fox, snowshoe hare, porcupine, fisher, coyote, beaver, ruffed grouse, bobcat, and muskrat. Forestry and some agriculture are major land uses. Approximately 7% of the ecoregion is farmland. The major communities include Saint John, Sussex, and St. Stephen. The population of the ecoregion is approximately 150 800.",121
MARITIME LOWLANDS,"This ecoregion covers a large, triangular-shaped plain extending from south-central New Brunswick to the Gulf of St. Lawrence, including the Northumberland coastline of Nova Scotia. The climate is marked by warm summers and mild, snowy winters. The mean annual temperature is approximately 5°C. The mean summer temperature is 15.5°C and the mean winter temperature is -5.5°C. The mean annual precipitation ranges 1000-1300 mm. The closed mixedwood forest is mainly composed of red spruce, balsam fir, red maple, hemlock, and eastern white pine. Sugar maple and yellow birch are found on the larger hills. Wetlands are extensive and support dwarf black spruce and eastern larch at their perimeters. Eastern white cedar is found only on the New Brunswick section of the lowlands. The lowlands are underlain by flat to gently dipping Carboniferous sandstones, shales, and conglomerates and rise inland from sea level to 200 m asl. The ecoregion is blanketed with stony, loamy glacial tills. The dominant soils are Humo-Ferric Podzols and Gray Luvisols with compact subsoils that restrict internal drainage. Significant areas of Gleysols, Fibrisols on flat and raised bogs, and Mesisols on fens also exist. The ecoregion provides habitat for moose, black bear, white-tailed deer, red fox, snowshoe hare, porcupine, fisher, coyote, beaver, ruffed grouse, bobcat, marten, raccoon, and muskrat. Shorebirds and seabirds inhabit salt marshes and coastal habitats. Forestry, agriculture (5% of the ecoregion is farmland), coal mining, tourism, and recreation are dominant land uses. The major communities include Fredericton, Moncton, Chatham, Bathurst, New Glasgow, and Shediac. The population of the ecoregion is approximately 441 800.",122
FUNDY COAST,"This ecoregion covers a narrow coastal strip along the Bay of Fundy in New Brunswick and Nova Scotia. Strongly influenced by the Atlantic Ocean, the region is exposed to high winds, high humidity, and fog during summer and fall and is slow to warm up in spring. It is marked by cool, wet summers and mild, wet winters with most precipitation falling as rain. The mean annual temperature is approximately 6°C. The mean summer temperature is 14.5°C and the mean winter temperature is -3°C. The mean annual precipitation ranges 1100-1400 mm. High tides, averaging 10 m occur in the Minas Basin in the Bay of Fundy. The highest tide in the world was registered here at 16.1 m. The coniferous forest is predominantly composed of red spruce, balsam fir, and red maple with scattered white spruce, and white and yellow birch. Sugar maple and beech are found at higher elevations. The bedrock is composed of Proterozoic, Palaeozoic, and Mesozoic strata rising from sea level to about 215 m asl inland. The terrain is highly variable, ranging from the rolling to steep, deeply incised highlands to undulating plains. Discontinuous, stony glacial till blankets the highlands, whereas loamy tills, sandy fluvioglacial sediments, and silty marine deposits occupy lowlands. Humo-Ferric Podzols are the dominant soil. Mesisols on flat bogs occur in lowland areas. Regosols and Gleysols on diked and drained salt marshes are used for agriculture. The region provides habitat for moose, black bear, white-tailed deer, red fox, snowshoe hare, porcupine, fisher, coyote, beaver, ruffed grouse, bobcat, and raccoon. Salt marshes and tidal flats provide important habitat for migratory shorebirds. Approximately 10% of the ecoregion is farmland. Forestry, the fishery, tourism, and seashore recreation are other land uses. The major communities include Amherst and Truro. The population of the ecoregion is approximately 82 500.",123
SOUTHWEST NOVA SCOTIA UPLANDS,"This ecoregion occupies most of the southwestern portion of the Nova Scotia mainland. The climate is marked by warm summers and mild, snowy winters. It is strongly influenced by the Atlantic Ocean and is one of the most humid parts of the Maritime provinces. The mean annual temperature is approximately 6.5°C. The mean summer temperature is 14.5°C and the mean winter temperature is -1.5°C. The mean annual precipitation ranges 1200-1400 mm. This mixedwood forest region is composed of tall to intermediate, closed stands of red and black spruce, eastern hemlock, white and red pine, white birch, red maple, and red oak. Broad areas of brushland occur as a result of fire disturbance. On these areas, an open black spruce forest with scattered aspen, red maple, red oak, and white pine is common. Extensive bogs, fens, and swamps support stunted black spruce, larch, red maple, black ash, and alder. The uplands, as part of the Appalachian peneplain, consist of folded Palaeozoic slates and quartzites that form broad, sloping plains. The northern elevated portion of the region is underlain by an extensive granitic batholith. The ecoregion is covered by stony, discontinuous veneers and blankets of glacial till, drumlin fields, wetlands, and rockland barrens. Loamy Humo-Ferric Podzols dominate the ecoregion. Other soils include Ortstein Podzols on deep sandy tills, peaty Gleysols, Fibrisols on raised and flat bogs, and Organic Mesisols on fens. The ecoregion provides habitat for white-tailed deer, snowshoe hare, porcupine, raccoon, fisher, red fox, coyote, and beaver. Moose are concentrated in the central part of the region. Forestry and some limited agriculture characterize the regional land use. The main community is Bridgewater. The population of the ecoregion is approximately 87 500.",124
ATLANTIC COAST,"This ecoregion covers a narrow strip along the eastern coastline of Nova Scotia where the climate is strongly influenced by the Atlantic Ocean and is characterized by cool, wet summers and mild, wet winters. The ecoregion is exposed to high winds, high humidity, and fog during summer and fall; and experiences slow spring warm-up, and has a frost-free period that is the longest in the Maritime provinces. The mean annual temperature is approximately 6.5°C. The mean summer temperature is 14°C and the mean winter temperature is -1.5°C. The mean annual precipitation ranges 1200-1500 mm. The ecoregion supports an open coniferous forest composed of predominantly white and black spruce, and balsam fir. Red maple and yellow birch are found locally on very productive sites. Along exposed headlands, stands are windswept and stunted. Raised and flat bogs, fens, and salt marshes are common wetlands. This undulating to rolling coastal landscape is part of the Atlantic Uplands of Nova Scotia, which extend along the entire length of Nova Scotia. This old peneplain surface is composed predominantly of Palaeozoic metamorphics and granites mantled by a discontinuous cover of stony glacial till. Loamy Humo-Ferric and Ferro-Humic Podzols, frequently with peaty surface horizons, are dominant and alternate with areas of exposed bedrock and wetlands. Ortstein Podzols are commonly found in deep sandy soils. Gleyed Podzols and Gleysols are notable inclusions. The ecoregion provides habitat for shorebirds and seabirds as well as winter habitat for white-tailed deer. The ecoregion is a setting for fishery, some agriculture, and seashore recreation. The major communities include Canso, Lunenburg, Liverpool, Louisbourg, and Yarmouth. The population of the ecoregion is approximately 132 400.",125
ANNAPOLIS-MINAS LOWLANDS,"This ecoregion incorporates the Annapolis Valley and most of the Minas Lowlands southeast of Minas Basin. The ecoregion is sheltered from direct coastal influences, allowing for warmer summer temperatures, particularly within the Annapolis Valley. The mean annual temperature is approximately 6.5°C. The mean summer temperature is 15°C and the mean winter temperature is -2.5°C. The mean annual precipitation ranges 1100-1300 mm. The tall, closed mixedwood forest is predominantly composed of red, white, and black spruce, balsam fir, eastern hemlock, and eastern white pine, intermixed with white birch and red maple. Sugar maple, yellow birch, and beech are found on hills and ridges. Moist valley bottoms support white and red pine, and red maple. Spruce, fir, and hemlock are more prevalent on heavier soils to the east. Swampy basins support white elm, black ash, and red maple, whereas bogs favour open black spruce, and tamarack. This undulating to rolling lowland is underlain by soft Mesozoic sandstone in the Annapolis Valley and Palaeozoic shale, sandstone, gypsum, and limestone in the Minas Lowlands. The ecoregion is mantled by deep, loamy, glacial till, alluvium, and fluvioglacial outwash, particularly in the Annapolis Valley, whereas flat and raised bogs, and stream and horizontal fens are significant on the Minas Lowlands. Humo-Ferric Podzols formed in sandy soils are characteristic of the Annapolis Valley. Loamy Gray Luvisols, Gleysols, stony Humo-Ferric Podzols, and Gleyed Regosols are typical of the Minas Lowlands. Fibrisols are found on bogs, and Mesisols on fens. The region provides habitat for white-tailed deer, snowshoe hare, porcupine, raccoon, red fox, coyote, and beaver. Agriculture, including dairy, fruit, vegetables, and livestock production, is the principal land use in the Annapolis Valley. Farmlands occupy 22% of the ecoregion. Forestry is significant in the eastern section of the ecoregion. The major communities include Kentville and Windsor. The population of the ecoregion is approximately 108 900.",126
SOUTH-CENTRAL NOVA SCOTIA UPLANDS,"This ecoregion is found inland in the south-central section of Nova Scotia. Strongly influenced by the Atlantic Ocean, it is one of the most humid parts of the Maritime provinces. The ecoregion is characterized by warm summers and mild, snowy winters. The mean annual temperature is approximately 6.5°C. The mean summer temperature is 14°C and the mean winter temperature is -2°C. The mean annual precipitation ranges 1300-1600 mm. This ecoregion is classified as having an Atlantic high cool temperature ecoclimate. This mixedwood forest region is composed of intermediate to tall, closed stands of red and white spruce, balsam fir, yellow birch, and eastern hemlock. Yellow birch, beech, and red and sugar maple can be found at higher elevations. Eastern white pine is found on sandy areas. The ecoregion has extensive wetland and rock barrens, which support stunted black spruce, larch, and heath. This region is part of the Atlantic Uplands of Nova Scotia, which represents the lower southern slope of the southeastwardly tilted Cretaceous peneplain. Rolling till plain, drumlin fields, extensive rockland, and wetlands are underlain by folded Palaeozoic slates and quartzites intruded by granites. The plain rises from 30 m asl near the Atlantic coast to 180 m asl at its northern limit and is mantled with stony, discontinuous veneers and blankets of glacial till. Loamy Humo-Ferric Podzols are the dominant soils in the ecoregion. Peaty Gleysols, Fibrisols on raised bogs, and Mesisols on horizontal fens are also present on the landscape. The region provides habitat for white-tailed deer, snowshoe hare, porcupine, raccoon, fisher, red fox, coyote, and beaver. Forestry, recreation and residential developments are the dominant land uses. Agriculture is limited to 3% of the area. The major communities include Halifax and Dartmouth. The population of the ecoregion is approximately 271 100.",127
NOVA SCOTIA HIGHLANDS,"This ecoregion is a complex band of plateaus separated by lower-elevation uplands and lowlands that stretch across northern Nova Scotia from Chignecto Bay to Cape Breton Island. The climate is marked by warm, rainy summers and mild to cold, snowy winters. The mean annual temperature is approximately 6°C. The mean summer temperature is 14.5°C and mean winter temperature is -2.5°C. The mean annual precipitation ranges 1000-1600 mm. The mixedwood forest is composed of sugar and red maple, yellow birch, red and white spruce, and balsam fir. This ecoregion is distinguished from others by the abundance of yellow birch at higher elevations. Other species such as eastern white pine, eastern hemlock, balsam fir, and red and black spruce also occur. The region includes the Cobequid Mountains to the west, the dissected Antigonish Highlands in the centre, and the dissected Cape Breton Hills to the northeast. These highland plateaus are remnants of a Cretaceous peneplain surface, composed of Palaeozoic metamorphics and Proterozoic intrusives and volcanics, and range in elevation 120-300 m asl. The highland plateaus are incised with deep valleys. Undulating to rolling stony glacial till blankets, underlain by Palaeozoic shale, sandstone, and conglomerate, characterize the uplands and lowlands. Loamy Humo-Ferric Podzols predominate, but Ferro-Humic Podzols are common under hardwood stands at higher elevations. Inclusions of Gleysols, Gray Luvisols, Fibrisols on bogs, and Mesisols on fens are significant. The region provides habitat for white-tailed deer, moose, black bear, snowshoe hare, fisher, coyote, and porcupine. Forestry, farming on the lowlands (7% of the ecoregion), and localized blueberry and maple syrup production characterize land use. The major communities include Sydney, Glace Bay, and Antigonish. The population of the ecoregion is approximately 198 700.",128
CAPE BRETON HIGHLANDS,"This ecoregion is located on the northern tip of Cape Breton Island. The ecoregion is marked  by cool, wet summers and long winters. Fog is common. The mean annual temperature is approximately 5°C. The mean summer temperature is 15°C and the mean winter temperature is -2°C. The mean annual precipitation ranges 1400-1600 mm. The ecoregion is strongly influenced by severe winds on exposed upper slopes, where sparse, low growing conifer forests and kalmia heath are predominant. The sheltered lower slopes are characterized by intermediate to tall balsam fir, white spruce, and white birch. Associated with peatlands and seepage sites are open stands of black spruce and tamarack with an understory of sphagnum. The ecoregion covers the highest part of the Nova Scotia Highlands physiographic division and a remnant of the old Appalachian peneplain composed of Proterozoic metamorphic and volcanic rocks. The peneplain is deeply incised around its margins and has a remarkably flat interior lying at about 450 m asl. Ridged to hummocky, stony, glacial tills are predominant; bedrock exposures, residuum, colluvium on the very steep slopes, and peatlands on the plateau are also present. Shallow, loamy Ferro-Humic Podzols are the dominant soils of the region and are commonly associated with Humo-Ferric Podzols and Dystric Brunisols on steep slopes, Fibrisols on domed and sloping bogs, and Mesisols on fens. The region provides habitat for moose, snowshoe hare, black bear, and lynx. Forestry, tourism, and recreation are dominant land uses in the region. There are no major communities in this ecoregion.",129
PRINCE EDWARD ISLAND,"This ecoregion covers all of Prince Edward Island. Moderated by the Atlantic Ocean, the summers are warm and winters mild and snowy. The mean annual temperature is approximately 5.5°C. The mean summer temperature is 15°C and the mean winter temperature is -3.5°C. The mean annual precipitation ranges 900-1150 mm. Little of the original mixedwood forest is left on the island. Cultivated fields were once covered with red oak, sugar maple, yellow birch, and beech. Abandoned fields are reverting to forests of white and red spruce. In the west and along the windswept north shore, dwarf conifers are prominent on upland flats and valley bottoms. Black spruce and tamarack are common on wetlands. Eastern white pine is widespread on coarse-textured soils. The island is part of the Maritime Plain consisting of flat to gently dipping late Palaeozoic sandstones, siltstone, and conglomerates that rise from sea level to a high of 142 m asl inland. This undulating plain is mantled with loamy glacial till, fluvioglacial deposits, and level marine sediments of varying depth. This ecoregion has the best-developed sand dune and beach systems in the Atlantic Maritime ecozone. These systems, combined with ocean waters that, during the summer, are the warmest ocean waters in Canada, make them ideal recreational sites. The dominant soils of the region are Humo-Ferric Podzols. Significant inclusions are Gleysols, Gray Luvisols, Mesisols on flat and bowl bogs, and Fibrisols on domed bogs and fens. The ecoregion provides coastal and salt marsh habitat for shorebirds and seabirds. Agriculture, ocean-based fishery, tourism, and recreation are the predominant land uses. Farmland occupies much of the ecoregion. The major communities include Charlottetown and Summerside. The population of the ecoregion is approximately 129 800.",130
ÎLES-DE-LA-MADELEINE,"These islands are found in the Gulf of St. Lawrence. The strongly maritime climate is marked by warm summers and stormy, mild winters. The mean annual temperature is approximately 4.5°C. The mean summer temperature is 13°C and the mean winter temperature is -3.5°C. The mean annual precipitation ranges from 900 to over 1000 mm. The boreal forest is characterized by black spruce and balsam fir with an understory of feathermoss. Fires have resulted in the development of low-growing kalmia heath and moss. Poorly drained sites support open stands of black spruce and tamarack with alder, kalmia heath, and moss. The ecoregion consists of flat to gently dipping Palaeozoic Carboniferous sandstones, shales, and conglomerates rising inland from sea level to 100 m asl in elevation. Small bedrock outcrops stand as prominent hills. Mantled with stony, loamy glacial till of varying depth, the dominant soils of the region are Humo-Ferric Podzols, which have compact subsoils that restrict internal drainage. Significant inclusions are Gleysols, Organic Fibrisols on domed bogs, and Mesisols and Humisols on basin swamps.  There are very few terrestrial mammals on Îles-de-la-Madeleine because of its isolation. Shorebirds and seabirds inhabit salt marshes and coastal habitats. Fishing, tourism, and recreation are the region's dominant activities. The principal community is Fatima. The population of the ecoregion is approximately 14 000.",131
ST. LAWRENCE LOWLANDS,"The ecoregion includes the lowlands centred on the Ottawa and St. Lawrence rivers stretching from Quebec City to the Frontenac Axis near Brockville, Ontario. It is bounded on the north by the hilly Laurentian Highlands and the Eastern Quebec Uplands to the south. The ecoregion is marked by warm summers and cold snowy winters. Moist summers are more prevalent west of Montreal. The mean annual temperature is approximately 5°C. The mean summer temperature is 16.5°C and the mean winter temperature is -7°C. The mean annual precipitation ranges 800-1000 mm. Mixedwood forests of sugar maple, yellow birch, eastern hemlock, and eastern white pine form the most stable vegetation in the region; beech occurs on warmer sites. Dry sites are dominated by red pine, eastern white cedar, and red oak. Wetter sites support red maple, black ash, white spruce, tamarack, and eastern white cedar. Underlain by flat-lying Palaeozoic strata that are either faulted or lie upon the crystalline rocks of the Canadian Shield, the ecoregion is rarely more than 152 m asl, except for the seven Monteregian Hills in the south, which are formed of intrusive igneous rocks. Gleysolic soils developed on level, poorly drained, clayey deposits are dominant in the region; significant inclusions are Humo-Ferric Podzols and Dystric Brunisols on morainal uplands. Characteristic wildlife includes deer, black bear, moose, wolf, hare, chipmunk, other small mammals, waterfowl, and other birds. Most of the region is intensively cultivated farmland (60%) with corn being the dominant crop grown. Dairy and mixed farming systems prevail. Urban development is extensive. The major communities include Quebec City, Montreal, Trois-Rivières, Saint-Hyacinthe, Cornwall, Brockville, Ottawa/Hull, and Pembroke. The population of the ecoregion is approximately 5 910 000.",132
FRONTENAC AXIS,"This ecoregion extends between Kingston and Brockville with the majority of the ecoregion existing within the Adirondacks area of upper New York state. The ecoregion is characterized by warm summers and cold winters with monthly precipitation being evenly distributed throughout the year. The mean annual temperature is approximately 4.5°C. The mean summer temperature is 16°C and the mean winter temperature is -7°C. The mean annual precipitation ranges 700-800 mm. The dominant land cover is mixed forest with species common to the Mixedwood Plains and Boreal Shield ecozones. Forest vegetation is characterized by sugar maple, eastern hemlock, and red oak. Pioneer species include white pine, paper birch, and trembling aspen. Moist sites are characterized by yellow birch, white elm, and red maple with slippery elm, black ash, and white cedar occurring in depressions and near streams. Drier sites contain red oak, and white and red pine. The region is underlain by carbonate-rich, Palaeozoic bedrock, which contrasts it with the acidic bedrock found in the balance of the Precambrian Shield to the north. The landscape is a complex mix of bedrock outcrops and deeper marine and lacustrine clay deposits. Gleysolic soils on the fine-textured deposits and Humo-Ferric Podzolic soils on the coarse-textured deposits are codominant. Significant inclusions are Fibrisol soils found in depressions distributed throughout the ecoregion. Characteristic wildlife includes white-tailed deer, snowshoe hare, coyote, red and grey squirrel, and chipmunk. Bird species include the cardinal, wood thrush, screech owl, mourning dove, green heron, pileated and red-bellied woodpecker, and wood and American black duck. Mixed farming and dairy are the dominant farming systems, and major crops include grains, corn, and hay. Other significant land uses include urban development, recreation and tourism. Major communities include Gananoque and Mallorytown. The population of the ecoregion is approximately 18 500.",133
MANITOULIN-LAKE SIMCOE,"This ecoregion extends eastward from Manitoulin Island to Kingston at the east end of Lake Ontario in southern Ontario. The ecoregion is characterized by warm summers and mild winters. The mean annual temperature is approximately 6°C. The mean summer temperature is 16.5°C and the mean winter temperature is -4.5°C. Mean annual precipitation ranges 750-1000 mm. The higher precipitation levels occur in areas bordering Lake Huron. Precipitation is evenly distributed throughout the year. The dominant land cover is cropped land with significant areas of mixed forest. Climax vegetation is characterized by sugar maple, beech, eastern hemlock, red oak, and basswood. Pioneer species include white pine, paper birch, and trembling aspen. Moist sites are characterized by yellow birch, white elm, and red maple with slippery elm, black ash, and white cedar occurring in depressions and near streams. Drier sites contain red oak, and white and red pine. The ecoregion falls within the West St. Lawrence Lowland, is underlain by carbonate-rich, Palaeozoic bedrock, and is dominated by a wide variety of deep glacial deposits. Level to undulating bedrock outcropping occurs in a few limited areas. The northeasterly facing Niagara Escarpment, extending northwesterly from Niagara River to the Manitoulin Islands, divides the region into two parts. The area to the west slopes gradually southwestward through an area of rolling topography of low relief. East of the escarpment, the land rises gently from Lake Ontario to Georgian Bay. Loamy Melanic Brunisolic and Gray Brown Luvisolic soils are dominant. Significant inclusions are clayey Gleysolic soils. Characteristic wildlife includes white-tailed deer, snowshoe hare, coyote, red and grey squirrel, and chipmunk. Bird species include the cardinal, wood thrush, screech owl, mourning dove, green heron, pileated and red-bellied woodpecker, and wood and American black duck. The most extensive land use in this ecoregion is agriculture, which occupies 56% of the land area. Mixed, dairy, and cash crop are the dominant farming systems, and major crops include grains, corn, soybeans, hay, and fruit. Other significant land uses include urban development, recreation, and tourism. The major communities include Kingston, Belleville, Peterborough, Oshawa, Kitchener-Waterloo, Barrie, Owen Sound, Stratford, and Brantford. The population of the ecoregion is approximately 2 150 000.",134
LAKE ERIE LOWLAND,"This ecoregion extends from Windsor to Toronto, including the Niagara Peninsula at the southern tip of Ontario. The ecoregion has one of the warmest climates in Canada. It is marked by humid, warm to hot summers and mild, snowy winters. The mean annual temperature is approximately 8°C. It reaches as high as 9°C in the Windsor area. The mean summer temperature is 18°C and the mean winter temperature is -2.5°C. The mean annual precipitation ranges 750-900 mm. Precipitation is evenly distributed throughout the year. The dominant land cover is cropped land with limited areas of mixed and deciduous forests on the Niagara Escarpment. Urban development is the other significant land cover. Climax vegetation is characterized by sugar maple, beech, white and red oak, shagbark hickory, black walnut, and butternut. Moist sites are characterized by white elm, eastern cottonwood, balsam poplar, red and black ash, and silver maple. Drier and warmer sites contain black, chestnut, and chinquapin oak. Tulip tree, sycamore, and bitternut hickory occur on moist slopes. The ecoregion is underlain by carbonate-rich, Palaeozoic bedrock and is dominated by a wide variety of deep glacial deposits. Most of the region lies southwest of the Niagara Escarpment, where the land surface slopes gradually southwestward through low-relief, rolling topography. Bedrock outcrops are only in a limited area between Hamilton and Georgetown. The ecoregion east of the escarpment consists of primarily level, fine-textured lacustrine deposits. Minor areas of sandy to loamy till deposits also occur. Clayey Gleysolic and Gray Brown Luvisolic soils are dominant in the ecoregion. Characteristic wildlife species include white-tailed deer, grey and red squirrel, and chipmunk. Bird species include the cardinal, wood thrush, screech owl, mourning dove, green heron, pileated and red-bellied woodpecker, and wild turkey. Agriculture is the predominant land use occupying 65% of the ecoregion, and major crops include corn, soybeans, tobacco, and tender fruit. The other dominant land use is urbanization, including residential, commercial, and industrial uses. The major communities include Toronto, Hamilton, St. Catharines, Niagara Falls, Windsor, Sarnia, London, Chatham, and Brantford. The population of the ecoregion is approximately 3 938 000.",135
SLAVE RIVER LOWLAND,"This ecoregion in northeastern Alberta includes the lower reaches of the Peace and Athabasca rivers, the Peace-Athabasca delta, and the Slave River drainage up to Great Slave Lake in the Northwest Territories. The climate is characterized by short, cool summers and long, cold winters. The mean annual temperature is approximately -2°C. The mean summer temperature is 13°C and the mean winter temperature is -17.5°C. The mean annual precipitation ranges 300-400 mm. The ecoregion is classified as having a subhumid mid-boreal ecoclimate. Its boreal vegetation is typically medium to tall, closed stands of trembling aspen, balsam poplar, and jack pine with white and black spruce, and balsam fir occurring in late successional stages. Cold and poorly drained fens and bogs are covered with tamarack, black spruce, ericaceous shrubs, and mosses. Underlain by relatively flat, low-relief Palaeozoic carbonates, and except for the delta, the region is mainly an undulating sandy plain with some eolian features. Up to 50% of the area is covered by peatlands. Sporadic discontinuous permafrost with low ice content is prevalent, mainly in the organic deposits. Dystric Brunisols are the main soils with some Gleysols and some saline inclusions along the Slave River. Regosols and Gleysols are the most common soils on the alluvial materials of the Slave River delta. Characteristic wildlife includes moose, black bear, wolf, lynx, beaver, muskrat, snowshoe hare, waterfowl, sandhill crane, ruffed grouse, and other birds. This region contains most of Wood Buffalo National Park, the largest park in Canada (44 840 km2). It is also the home of the world's largest bison herd. Other land uses include hunting, fishing, trapping, and some mineral exploration. The major communities include Pine Point, Fort Resolution, and Fort Smith. The population of the ecoregion is approximately 5600.",136
CLEAR HILLS UPLAND,"This ecoregion spans the British Columbia-Alberta boundary north of the Peace River district. The climate is characterized by cool, short summers and cold winters with severe temperatures moderated by frequent chinooks. The mean annual temperature is approximately -0.5°C. The mean summer temperature is 13°C and the mean winter temperature is -17.5°C. The mean annual precipitation ranges 400-600 mm. Permafrost is limited to isolated patches along the northern boundary of the ecoregion. It represents a transition between boreal and cordilleran vegetation which occurs on the lower slopes of the Rocky Mountains and the western edge of the Alberta Plain. The boreal forest has a mixture of lodgepole pine, which may dominate at higher elevations. White spruce and fir are also common species in the uplands areas, whereas black spruce communities may dominate in the poorly drained valleys. Bedrock materials are composed of Cretaceous sandstone and shale strata, which are an extension of the Alberta Plateau out from the Rocky Mountains. The ecoregion is a dissected upland with an elevation range of 550-1050 m asl. There are steep slopes, some rolling plateau remnants, and broad, gently undulating valleys. A moderately fine-textured till covers most of the area with some clayey lacustrine deposits in the valleys, which may have over 50% of the area covered with organic soils. Fibrisols and Mesisols occur on bog blankets, and Gray Luvisols occur on rolling, moderately to steeply sloping, loamy morainal deposits, which are dominant in the region. Wildlife in the region includes moose, deer, elk, woodland caribou, black bear, beaver, mink, wolf, marten, hare, and spruce grouse. This ecoregion supports a forestry industry, oil and gas exploration, and hunting. Some agriculture, limited to forage production and short-season cereal grains, is present on the southern edge. The population of the ecoregion is approximately 5100.",137
